#,Name,Difficult,Priority,Status,Tags,link,source,practicedTimes
11,Container With Most Water,Medium,High,"No Idea At First, toSummarize","2pt, Array, Greedy",https://leetcode.com/problems/container-with-most-water/,"HuaHua, LC_75, LC_Top_Interview_150, wisdompeak",
392,Is Subsequence,Easy,Medium,"More Solution, toSummarize","2pt, DP, string",https://leetcode.com/problems/is-subsequence/,"LC_75, LC_Top_Interview_150",
125,Valid Palindrome,Easy,Pass,,2pt_DiffDir,https://leetcode.com/problems/valid-palindrome/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初TwoPointers",1
127,Word Ladder,Hard,Medium,,"BFS, Graph, gbfs_preChkVisited_wSz, search, string",https://leetcode.com/problems/word-ladder/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初BFS, 算初DFS",1
130,Surrounded Regions,Medium,Low,More Solution,"BFS, DFS, Graph, Union Find, search",https://leetcode.com/problems/surrounded-regions/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算高UnionFind&Trie",1
133,Clone Graph,Medium,Medium,Next Up,"BFS, DFS, Graph, Hash, gbfs_preChkVisited_woSz",https://leetcode.com/problems/clone-graph/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初BFS",1
138,https://leetcode.com/problems/copy-list-with-random-pointer/,Medium,Low,,"Graph, Hash, LinkedList",https://leetcode.com/problems/copy-list-with-random-pointer/,"LC_Top_Interview_150, jiuzhang, 算初Hash&Heap, 算初LinkedList&Array",1
141,Linked List Cycle,Easy,Pass,,"2pt_SameDir_FastDoubleSpeed, Cycle, Hash, LinkedList",https://leetcode.com/problems/linked-list-cycle/,"HuaHua, LC_Top_Interview_150, jiuzhang, wisdompeak, 算初LinkedList&Array, 算高TwoPointers&PQ",1
146,LRU Cache,Medium,Medium,Dig More,"Hash, LinkedList",https://leetcode.com/problems/lru-cache/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初Hash&Heap",1
148,Sort List,Medium,Medium,,"Divide and Conquer, LinkedList, MergeSort",https://leetcode.com/problems/sort-list,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array",1
153,Find Minimum in Rotated Sorted Array,Medium,Medium,,"BS_Idx, Divide and Conquer",https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初BS",1
162,Find Peak Element,Medium,Low,,BS_Idx,https://leetcode.com/problems/find-peak-element/,"LC_75, LC_Top_Interview_150, jiuzhang, 算初BS, 算高BS&SwipeLine",1
167,Two Sum II - Input Array Is Sorted,Medium,Pass,,2pt_DiffDir,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初TwoPointers",1
173,Binary Search Tree Iterator,Medium,Low,,"Iterate, Tree",https://leetcode.com/problems/binary-search-tree-iterator/,"LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer, 算高FollowUp",1
188,Best Time to Buy and Sell Stock IV,Hard,High,"More Solution, No Idea At First","DP, Game, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,LC_Top_Interview_150,
198,House Robber,Medium,Pass,,"Array, DP, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/house-robber/,"HuaHua, LC_75, LC_Top_Interview_150, jiuzhang, wp动归套路, 算高DP上",1
200,Number of Islands,Medium,Medium,,"BFS, Connected_Component, DFS, Graph, Matrix, Union Find, mbfs_preChkVisited_woSZ, search",https://leetcode.com/problems/number-of-islands,"AmazonFreq, HuaHua, LC_Top_Interview_150, jiuzhang, 算初BFS, 算高UnionFind&Trie",1
290,Word Pattern,Easy,Low,,"Hash, string",https://leetcode.com/problems/word-pattern/,LC_Top_Interview_150,
242,Valid Anagram,Easy,Pass,,"Hash, Sort, string",https://leetcode.com/problems/valid-anagram/,LC_Top_Interview_150,
49,Group Anagrams,Medium,Medium,,"Anagram, Hash",https://leetcode.com/problems/group-anagrams/,"LC_Top_Interview_150, jiuzhang, 算初Hash&Heap",1
1,Two Sum,Easy,Pass,,"2pt_DiffDir, Hash",https://leetcode.com/problems/two-sum/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初TwoPointers",1
219,Contains Duplicate II,Easy,Medium,,"2pt_SameDir_sameSpeed, Array, Hash, Sliding Window",https://leetcode.com/problems/contains-duplicate-ii/,LC_Top_Interview_150,
202,Happy Number,Easy,Medium,,"Hash, circle",https://leetcode.com/problems/happy-number/,LC_Top_Interview_150,
128,Longest Consecutive Sequence,Medium,Medium,More Solution,"Hash, Union Find",https://leetcode.com/problems/longest-consecutive-sequence/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP, 算初Hash&Heap",1
207,Course Schedule,Medium,Medium,,"Graph, TopSorting",https://leetcode.com/problems/course-schedule/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初BFS",1
